message,messageid
"
It was good..Initially she was ok but when she boarded the bus in the morning, 2 small kids were crying as if they are going to a jail .. :P  so, she also also started sobbing (crying is communicable ) but later on we followed the bus till school as it was her first day and found her normal..wat abt your son? 
dear pl remember to emphasize on 10 mins fruit break coz mass emphasis can seriously help thats my thinking .Also its good for these kids coz as i know my kid who actually don't willingly eat fruits except apple.",32
"
It was good..Initially she was ok but when she boarded the bus in the morning, 2 small kids were crying as if they are going to a jail .. :P  so, she also also started sobbing (crying is communicable ) but later on we followed the bus till school as it was her first day and found her normal..wat abt your son? 
dear pl remember to emphasize on 10 mins fruit break coz mass emphasis can seriously help thats my thinking .Also its good for these kids coz as i know my kid who actually don't willingly eat fruits except apple.",33
"
hello frnz. I have just got a call from NIBS for admission. I just wanted to inquire if anyone has enrolled their ward there.If so, how much they are taking at the time of enrollment.And what is the fee structure bifurcation they are following on monthly/quarterly basis?",34
"
My son usually eat a fruit in the evening and never crib about it and also I keep one small serving of fruit in his lunch box so I don't mind a fruit break either. We also followed  the bus yesterday as it was his first day and found him normal. He seems to be happy n excited, hope this will continue :)",35
,36
"
pl give this suggestion/support on orientation day as other parents do ..thanx ",37
,38
"
Anyone in Route no. 6 for Nibs...my son cried today as well as yesterday. I know he will take time to settle, i just hope he is able to make it soon. ",39
"
My daughter is on Route 6 in the morning and Route 3 in the afternoon. For the moment she is quite excited to be travelling in the school bus and was happy with the school as per her feedback yesterday.",40
"
Oh great.what is the pick up point ? ..As per feedback sent yesterday from school ..it mentioned he was happy in school..lets hope for same today ",41
"
Pick up from Sector 23. What about you @deepti?",42
"
DDA Flats Sec 22 ..which section is your daughter in ? ",43
"
She is in Bahar. Your son??",44
"
Basant",45
,46
"
hello frnz. I have just got a call from NIBS for admission. I just wanted to inquire if anyone has enrolled their ward there.If so, how much they are taking at the time of enrollment.And what is the fee structure bifurcation they are following on monthly/quarterly basis?",47
"
@Rumana The pick up is for every class as morning timings are same for whole school and drop is only for Ankur and Pallav that's why the route numbers are different.
",48
"
Thanks Madhavi for this info :) ",49
"
There is separate Nirmal Bhartia group on Nursery Admission.....Parents whose kids go to Nibs can join that as well.http://www.admissionsnursery.com/group/nirmal-bhartia-school
",50
"
Hope to see you all tomorrow :)",51
"
Hi Everyone, did any of you got the login details of parent portal yet?
If all of you agree, can we make a whatsapp group to discuss and share...",52
"
hello, i dint receive yet but asked one of the parents today when i went to school , they confirmed that they have received login id.. so i have also asked the same from the school.yes i am ready to make a group to share and discuss...pl mail me at taran.6886@gmail.com..
Also r u filling the form for swimming?
",53
,54
,55
"
Hi all,
Please suggest a few good schools in and near Indirapuram. My 
daughter is 3+ and i am interested in schools which do not overburden 
small kids with lot of academic work.
Could you please rate these schools on the above mentioned criteria :
DPS Indirapuram
Amity Vasundhara sec 1 & 6
Father Agnel, Noida
St. Francis, Vasundhara
Cambridge, Indirapuram

Thanks!!",56
"
Gargi
See this
http://www.admissionsnursery.com/forum/topics/nursery-admissions-in...",57
"
thanks a lot Sakshi !
Please give some idea about what we need to keep handy before filling any online form.
Tnx in advance :)",58
"
Pls see
http://www.admissionsnursery.com/page/documents-required-1",59
"
Hi Sakshi,
Need your help!! can you please tell me what is the difference between Amity International, Vasundhara Sec 1 & Sec 6.
Need to know which branch is better for Nursery admissions as we can apply only in one branch.
Thanks in advance :) and also thanks for keeping us updated :)
Gargi",60
"
Gargi
Sec 6 old established n sought after > Sec 1(vacancies open round the year )",61
"
hello frnz. I have just got a call from NIBS for admission. I just wanted to inquire if anyone has enrolled their ward there.If so, how much they are taking at the time of enrollment.And what is the fee structure bifurcation they are following on monthly/quarterly basis?",62
,63
"
mailed",64
,65
"
thanx for your inputs. breakup i also dont have.",66
"
They charge on half yearly basis and total fee for complete year is 180,000. It is amongst best school in dwarka so if u can afford go for it without any doubt.",67
"
thanx sir",68
"
congrats :)",69
"
Last year first quarter(apr-jun) breakup:admission fee: 200security deposit: 500Annual charges: 16,250 (total:32,500)development fee:3825 (total 3825 x 4=15,300)student Insurance:250PTA fee:150Computer Fee:600Tuition Fee:25,500Transport charges: 6600
",70
,71
"
@Guneet If you are referring to the circular which says that carry 9000 /- we too have got the same..... Its the approx and max amount .....last year I paid Rs. 2900 /- for books/stationery and Rs. 1400 /- for the uniform (2 shorts 2 t shirts and 3 pair of socks).... shoes we have bought from outsideLast year we were asked to carry 8000/- but total came 4400/- :)",72
"
I am still carrying stationary and uniform receipts ...If you wish can mail you for reference :)  ",73
"
@Madhavi,
This year the stationary cost for Nursery was 3150 and i spend 2850 on uniform 3 sets of shirt, shorts & socks and 1 pair of shoes. So its 6K for now. We also need to buy pants in July for Dengue season, kids are supposed to wear pants instead of shorts. Winter uniform has to be purchased again. So i guess the entire year total will be around 9-10K ",74
"
hello frnz. I have just got a call from NIBS for admission. I just wanted to inquire if anyone has enrolled their ward there.If so, how much they are taking at the time of enrollment.And what is the fee structure bifurcation they are following on monthly/quarterly basis?",75
"
very true deepti...moreover, i feel that NIBS is pretending to be really costlier than last year. Though Its a good school i have surveyed but infra wise some issues are there like very small ground and unfavorable location..hope the fee hike is justified for us later...
",76
,77
"
Its ok I can understand...If you need any help from my end please feel free to contact.",78
,79
"
@Guneet No idea why it has been postponed :(....
Nibs has different orientation sessions for New parents and Class Orientation 
Last year they had orientation 4 to 5 days after the school reopens and teachers by that time had time to meet the kids and they had answered all our queries related to our kids and class. Actually I was surprised when i saw that they are doing orientation earlier this time but I think it's a good decision that they have postponed it.",80
,81
"
@ HK Summer Holidays is for 45 days but in maximum cases they prepone the date because of severe weather conditions.",82
"
Hello frnz.. just wanted to have suggestion if we all parents on the orientation day can advice school to have 1 fruit break (may be at 9) in addition to the break at 10:30 as these tiny tots are not able to eat properly in the early morning time . Moreover, this way they can get the habit of eating this healthy which is also easily digestible snack daily by their own. wat are your views abt this??  (coz if we all can say then may be the school can think of implementing the same.) as most of the schools do have the same.",83
,84
"
Hello everyone,
My son is in Ankur Malhaar and he enjoyed a lot on his first day in school. Is anyone taking bus route no. 3 in the morning?",85
"
It was good..Initially she was ok but when she boarded the bus in the morning, 2 small kids were crying as if they are going to a jail .. :P  so, she also also started sobbing (crying is communicable ) but later on we followed the bus till school as it was her first day and found her normal..wat abt your son? 
dear pl remember to emphasize on 10 mins fruit break coz mass emphasis can seriously help thats my thinking .Also its good for these kids coz as i know my kid who actually don't willingly eat fruits except apple.",86
"
It was good..Initially she was ok but when she boarded the bus in the morning, 2 small kids were crying as if they are going to a jail .. :P  so, she also also started sobbing (crying is communicable ) but later on we followed the bus till school as it was her first day and found her normal..wat abt your son? 
dear pl remember to emphasize on 10 mins fruit break coz mass emphasis can seriously help thats my thinking .Also its good for these kids coz as i know my kid who actually don't willingly eat fruits except apple.",87
"
hello frnz. I have just got a call from NIBS for admission. I just wanted to inquire if anyone has enrolled their ward there.If so, how much they are taking at the time of enrollment.And what is the fee structure bifurcation they are following on monthly/quarterly basis?",88
"
My son usually eat a fruit in the evening and never crib about it and also I keep one small serving of fruit in his lunch box so I don't mind a fruit break either. We also followed  the bus yesterday as it was his first day and found him normal. He seems to be happy n excited, hope this will continue :)",89
,90
"
pl give this suggestion/support on orientation day as other parents do ..thanx ",91
,92
"
Anyone in Route no. 6 for Nibs...my son cried today as well as yesterday. I know he will take time to settle, i just hope he is able to make it soon. ",93
"
My daughter is on Route 6 in the morning and Route 3 in the afternoon. For the moment she is quite excited to be travelling in the school bus and was happy with the school as per her feedback yesterday.",94
"
Oh great.what is the pick up point ? ..As per feedback sent yesterday from school ..it mentioned he was happy in school..lets hope for same today ",95
"
Pick up from Sector 23. What about you @deepti?",96
"
DDA Flats Sec 22 ..which section is your daughter in ? ",97
"
She is in Bahar. Your son??",98
"
Basant",99
,100
"
hello frnz. I have just got a call from NIBS for admission. I just wanted to inquire if anyone has enrolled their ward there.If so, how much they are taking at the time of enrollment.And what is the fee structure bifurcation they are following on monthly/quarterly basis?",101
"
@Rumana The pick up is for every class as morning timings are same for whole school and drop is only for Ankur and Pallav that's why the route numbers are different.
",102
"
Thanks Madhavi for this info :) ",103
"
There is separate Nirmal Bhartia group on Nursery Admission.....Parents whose kids go to Nibs can join that as well.http://www.admissionsnursery.com/group/nirmal-bhartia-school
",104
"
Hope to see you all tomorrow :)",105
"
Hi Everyone, did any of you got the login details of parent portal yet?
If all of you agree, can we make a whatsapp group to discuss and share...",106
"
hello, i dint receive yet but asked one of the parents today when i went to school , they confirmed that they have received login id.. so i have also asked the same from the school.yes i am ready to make a group to share and discuss...pl mail me at taran.6886@gmail.com..
Also r u filling the form for swimming?
",107
,108
,109
